"ID" "Perioden" "PrijsindexBestaandeKoopwoningen_1" "OntwikkelingTOVVoorgaandePeriode_2" "OntwikkelingTOVEenJaarEerder_3" "AantalVerkochteWoningen_4" "OntwikkelingTOVVoorgaandePeriode_5" "OntwikkelingTOVEenJaarEerder_6" "GemiddeldeVerkoopprijs_7" "TotaleWaardeVerkoopprijzen_8" "Perioden_C"
153 "2004MM01" 89.1 0.5 4.3 10329 -58.1 -12.7 204756 2115 "2004 januari"
154 "2004MM02" 89.6 0.5 4.4 13298 28.7 -0.7 209830 2790 "2004 februari"
155 "2004MM03" 89.4 -0.2 4 15624 17.5 8.8 210156 3283 "2004 maart"
156 "2004KW01" 89.4 1.1 4.2 39251 -31.4 -0.8 208625 8189 "2004 1e kwartaal"
157 "2004MM04" 90.1 0.8 4.3 16496 5.6 8.8 212873 3512 "2004 april"
158 "2004MM05" 90.3 0.2 4.3 14507 -12.1 -13 212210 3079 "2004 mei"
159 "2004MM06" 90.6 0.3 4.1 16943 16.8 17.3 211950 3591 "2004 juni"
160 "2004KW02" 90.3 1.1 4.2 47946 22.2 3.6 212346 10181 "2004 2e kwartaal"
161 "2004MM07" 91.3 0.9 4.6 18386 8.5 5 215940 3970 "2004 juli"
162 "2004MM08" 91.8 0.5 5.1 16909 -8 5.4 217834 3683 "2004 augustus"
163 "2004MM09" 91.8 -0.1 4.8 15132 -10.5 -10 218350 3304 "2004 september"
164 "2004KW03" 91.7 1.5 4.8 50427 5.2 0.1 217298 10958 "2004 3e kwartaal"
165 "2004MM10" 92.1 0.4 4.6 15450 2.1 -11 214677 3317 "2004 oktober"
166 "2004MM11" 91.9 -0.3 4 16519 6.9 8.9 211246 3490 "2004 november"
167 "2004MM12" 91.8 -0.1 3.5 22348 35.3 -9.3 210150 4696 "2004 december"
168 "2004KW04" 91.9 0.3 4 54317 7.7 -5 211771 11503 "2004 4e kwartaal"
169 "2004JJ00" 90.8 4.3 4.3 191941 -0.8 -0.8 212723 40830 "2004"
170 "2005MM01" 92.3 0.6 3.5 11495 -48.6 11.3 214758 2469 "2005 januari"
171 "2005MM02" 92.9 0.7 3.8 13964 21.5 5 214870 3000 "2005 februari"
172 "2005MM03" 93.1 0.2 4.2 15751 12.8 0.8 217110 3420 "2005 maart"
173 "2005KW01" 92.8 0.9 3.8 41210 -24.1 5 215695 8889 "2005 1e kwartaal"
174 "2005MM04" 93.5 0.4 3.8 16662 5.8 1 219695 3661 "2005 april"
175 "2005MM05" 94.2 0.7 4.3 16913 1.5 16.6 219176 3707 "2005 mei"
176 "2005MM06" 94.1 -0.1 3.9 17017 0.6 0.4 221788 3774 "2005 juni"
177 "2005KW02" 93.9 1.2 4 50592 22.8 5.5 220225 11142 "2005 2e kwartaal"
178 "2005MM07" 94.8 0.7 3.7 18704 9.9 1.7 225528 4218 "2005 juli"
179 "2005MM08" 95.2 0.5 3.7 18901 1.1 11.8 225914 4270 "2005 augustus"
180 "2005MM09" 95.2 0 3.8 18123 -4.1 19.8 229361 4157 "2005 september"
181 "2005KW03" 95.1 1.2 3.7 55728 10.2 10.5 226905 12645 "2005 3e kwartaal"
182 "2005MM10" 95.5 0.3 3.7 17789 -1.8 15.1 225765 4016 "2005 oktober"
183 "2005MM11" 95.5 0 4 17268 -2.9 4.5 224855 3883 "2005 november"
184 "2005MM12" 95.8 0.3 4.4 24042 39.2 7.6 226399 5443 "2005 december"
185 "2005KW04" 95.6 0.6 4 59099 6 8.8 225757 13342 "2005 4e kwartaal"
186 "2005JJ00" 94.4 3.9 3.9 206629 7.7 7.7 222706 46017 "2005"
187 "2006MM01" 96.5 0.7 4.6 13671 -43.1 18.9 228008 3117 "2006 januari"
188 "2006MM02" 97.2 0.7 4.6 15698 14.8 12.4 229291 3599 "2006 februari"
189 "2006MM03" 97.5 0.3 4.7 18150 15.6 15.2 231013 4193 "2006 maart"
190 "2006KW01" 97.1 1.5 4.6 47519 -19.6 15.3 229580 10909 "2006 1e kwartaal"
191 "2006MM04" 97.9 0.4 4.7 16245 -10.5 -2.5 232932 3784 "2006 april"
192 "2006MM05" 98.2 0.3 4.2 18479 13.8 9.3 232135 4290 "2006 mei"
193 "2006MM06" 98.6 0.4 4.8 18479 0 8.6 237713 4393 "2006 juni"
194 "2006KW02" 98.2 1.2 4.6 53203 12 5.2 234316 12466 "2006 2e kwartaal"
195 "2006MM07" 99.3 0.7 4.8 18819 1.8 0.6 240270 4522 "2006 juli"
196 "2006MM08" 99.6 0.3 4.6 18059 -4 -4.5 241279 4357 "2006 augustus"
197 "2006MM09" 99.6 0 4.5 17004 -5.8 -6.2 241654 4109 "2006 september"
198 "2006KW03" 99.5 1.3 4.6 53882 1.3 -3.3 241045 12988 "2006 3e kwartaal"
199 "2006MM10" 99.8 0.2 4.5 16981 -0.1 -4.5 239211 4062 "2006 oktober"
200 "2006MM11" 100.1 0.3 4.8 16578 -2.4 -4 235660 3907 "2006 november"
201 "2006MM12" 100 -0.1 4.3 21604 30.3 -10.1 237903 5140 "2006 december"
202 "2006KW04" 99.9 0.5 4.5 55163 2.4 -6.7 237631 13108 "2006 4e kwartaal"
