"ID" "Perioden" "TotaalArbeidsongeschiktheidsuitkeringen_1" "WAOUitkeringen_2" "WajongUitkeringen_3" "WAZUitkeringen_4" "TotaalWIAUitkeringen_5" "IVAUitkeringen_6" "WGAUitkeringen_7" "NietSeizoengecorrigeerd_8" "Seizoengecorrigeerd_9" "TotaalWWBUitkeringen_10" "WWBUitkeringenTotDeAOWLeeftijd_11" "WWBUitkeringenVanafDeAOWLeeftijd_12" "IOAWUitkeringen_13" "IOAZUitkeringen_14" "AOWUitkeringen_15" "AnwUitkeringen_16" "AKWUitkeringen_17" "Perioden_C"
110 "2006MM07" 875.2 663.8 151.7 49 10.6 1.9 8.7 271.9 276.9 345.8 317.8 27.9 7.9 1.9 NA 133.8 NA "2006 juli"
111 "2006MM08" 872 659.1 152.4 48.5 12 2.2 9.8 266.7 272.7 342.7 314.7 28 7.6 1.9 NA 133.1 NA "2006 augustus"
112 "2006MM09" 868.6 654 152.9 48.1 13.6 2.6 11.1 259.6 267.9 338.1 310.2 28 7.3 1.8 2592 132.6 1937.8 "2006 september"
113 "2006MM10" 867.6 650.1 153.8 47.7 15.9 3 13 253.8 262.8 334.5 306.5 28.1 6.9 1.8 NA 132 NA "2006 oktober"
114 "2006MM11" 865.9 646.2 154.9 47.4 17.5 3.4 14.2 250.6 256.6 331.7 303.4 28.3 6.7 1.8 2600.1 131.8 NA "2006 november"
115 "2006MM12" 863.4 641.8 155.5 47 19.1 3.7 15.3 249.1 250.7 329.4 300.9 28.4 6.6 1.8 2604.6 130.9 1926.7 "2006 december"
116 "2006JJ00" 879.3 669.6 151.1 49.6 9 1.8 8 279.7 NA 345.3 317.6 27.7 8.4 2 2581.8 134.5 1932.2 "2006"
117 "2007MM01" 861 637.1 156.5 46.5 20.8 4.1 16.8 250.8 243.2 328 299.5 28.6 6.5 1.8 2607 131 NA "2007 januari"
118 "2007MM02" 859.1 633.1 157.4 46.2 22.4 4.5 17.9 247.6 235.1 326.7 298 28.7 6.4 1.8 2609.4 130.5 NA "2007 februari"
119 "2007MM03" 856.7 628.6 158.3 45.7 24.1 4.9 19.2 237.8 229.6 325 296.1 29 6.3 1.8 2614.3 129.8 1932.9 "2007 maart"
120 "2007MM04" 855 624.9 159.2 45.3 25.6 5.3 20.3 226.4 222.9 323.5 294.2 29.2 6.2 1.8 2620 129.1 NA "2007 april"
121 "2007MM05" 852.6 620.8 159.9 44.9 27 5.7 21.3 217.2 217.6 321.6 292.2 29.4 6.1 1.8 2625.6 128.5 NA "2007 mei"
122 "2007MM06" 851.1 617 161 44.5 28.6 6.1 22.5 211.4 214.1 318.8 289.4 29.5 5.9 1.7 2630.2 127.5 1935.8 "2007 juni"
123 "2007MM07" 849.5 613.2 162 44.2 30.1 6.4 23.7 207.6 210.8 316.4 286.4 30 5.8 1.7 2638 126.9 NA "2007 juli"
